type,cost,country,carrier,units,2030,2040,2050
generators,capital,RS,solar,Euro,1069.2548811514966,892.0936135431816,285999622.6451111
generators,capital,RS,solar rooftop,Euro,344649324.78876746,616920640.303129,855165508.0608451
generators,capital,RS,urban central solar thermal,Euro,22099881.2408424,22099993.14835185,22099915.7330023
generators,capital,SE,offwind,Euro,59870071.74559122,0.0,0.0
generators,capital,SE,offwind-ac,Euro,1484.9057187355222,1072.0259642147585,899.5050788982684
generators,capital,SE,offwind-dc,Euro,1928.035469285314,1846.649575101695,1728.6815045932553
generators,capital,SE,onwind,Euro,2414827469.441891,1948707208.0980744,1837354545.284247
generators,capital,SE,ror,Euro,531273424.42688,531273424.42688,531273424.42688
generators,capital,SE,solar,Euro,148318311.9515386,1269125716.8123584,1269123738.979821
generators,capital,SE,solar rooftop,Euro,412992822.79527915,747424766.4648764,1040062063.6495968
generators,capital,SI,ror,Euro,272898346.4352657,272898346.4352657,272898346.4352657
generators,capital,SI,solar,Euro,36682156.72603336,36682122.2262273,36682276.42740019
generators,capital,SI,solar rooftop,Euro,110170136.68586849,197204017.9318612,273361047.0510373
generators,capital,SK,ror,Euro,407866026.6154695,407866026.6154695,407866026.6154695
generators,capital,SK,solar,Euro,37482186.82953854,37482081.07847399,37482351.844503574
generators,capital,SK,solar rooftop,Euro,262596135.20665023,470045819.62814105,651569979.7535932
generators,fuel,AL,gas,Euro,827422035.1935753,717183477.8650602,411898.3945057344
generators,fuel,BE,gas,Euro,5218456977.867909,5057474145.143653,2499109531.0085826
generators,fuel,BG,gas,Euro,1001757348.6970092,653868468.0465456,309716885.0049335
generators,fuel,DE,gas,Euro,11136329285.951284,9832479948.733974,3073769015.5042396
generators,fuel,DK,gas,Euro,2872630212.4187903,2684026340.925085,1035407813.0672256
generators,fuel,EE,gas,Euro,407742083.23575646,403791690.7378013,1919133.584631638
generators,fuel,ES,gas,Euro,15275212371.555103,9761057099.877964,1851479787.3148232
