countries,year,carriers,AL,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK
EE,2040,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7904286005574688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.40432907080016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,2040,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.31170325736223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.252343378395164,0.0,0.0,0.0,0.0,0.0
FI,2040,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1608029634016759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1424955057005699,0.0,0.0
FR,2040,elec,0.0,0.0,0.0,28.053711048268884,0.0,63.8680224898389,0.0,42.34436561891693,0.0,0.0,45.56557436840143,0.0,0.0,97.35031282501754,0.0,0.0,0.0,0.0,26.853488959216513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GB,2040,elec,0.0,0.0,0.0,129.4169894516374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.87608251293906,0.0,0.0,0.0,0.0,1.0514275094619718,0.0,0.0,0.0,0.0,0.0,0.0,61.70684431518818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR,2040,elec,4.261353934937455,0.0,0.0,0.0,4.142650887681967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1047816917984243,0.0,0.0,0.0,0.0,10.072335673252882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2040,elec,0.0,0.0,8.493603428747178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.160370385628859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0890503885956617,0.0,6.467956767522268,0.0
HU,2040,elec,0.0,4.544671048347755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.707645058718798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.968096235755512,3.3776800611632867,0.0,0.0,12.949404169532912
IE,2040,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7129573350170213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,2040,elec,0.0,2.0466740752941366,0.0,0.0,0.0,18.035059187778423,0.0,0.0,0.0,0.0,0.0,0.0,10.690290053640979,0.0,1.3226949081396764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.022784923891155,0.0
LT,2040,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7907920994531272,0.0,0.0,0.0,0.0,9.462881649205418,0.0,0.0,0.0,0.8704468153271347,0.0,0.0
LU,2040,elec,0.0,0.0,0.0,1.1219171324184463,0.0,0.0,0.0,3.572353478985851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LV,2040,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9174435619376287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.21027649013939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,2040,elec,0.8499265668551144,0.0,5.014185746907424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2438790426076185,0.0,0.0,0.0
MK,2040,elec,0.26224810149856903,0.0,0.0,0.0,1.807829396333446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9901512936819092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.519337645598196,0.0,0.0,0.0
NL,2040,elec,0.0,0.0,0.0,5.0598906200003135,0.0,0.0,0.0,42.884706882350805,0.0,0.0,0.0,0.0,0.0,5.871772324608763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.763387857831615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO,2040,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.16350394052481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1405596124256174,0.0,0.0,0.0,0.0,0.0,10.600656217609014,0.0,0.0
PL,2040,elec,0.0,0.0,0.0,0.0,0.0,0.0,10.582347387799713,7.79095059582051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.872668082370421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0968579006022505,0.0,6.878365013986972
PT,2040,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.317133464103411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RO,2040,elec,0.0,0.0,0.0,0.0,0.754322809637444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.373127182046174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5265558678415205,0.0,0.0,0.0
RS,2040,elec,0.18905305388527782,0.0,2.0715090410474937,0.0,0.6741037382989417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3369109781904553,3.564348403502653,0.0,0.0,0.0,0.0,0.0,0.2654406388307243,1.5214651723874542,0.0,0.0,0.0,0.0,4.2418407693992295,0.0,0.0,0.0,0.0
SE,2040,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.123325063542831,0.3231725455000175,0.0,0.0,2.3161599347447837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8361755010039156,0.0,0.0,0.0,0.0,0.0,15.054269038589702,3.476715762368742,0.0,0.0,0.0,0.0,0.0,0.0
SI,2040,elec,0.0,10.651427136990538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.00830936627002,0.0,0.0,4.979548920304515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK,2040,elec,0.0,0.0,0.0,0.0,0.0,0.0,8.596582385862973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.741106948584473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.712725004839616,0.0,0.0,0.0,0.0,0.0,0.0
AL,2050,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.344044474427748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.452287459958079,2.8552688042910184,0.0,0.0,0.0,0.0,0.0,4.924341278888959,0.0,0.0,0.0
AT,2050,elec,0.0,0.0,0.0,0.0,0.0,5.165037630633168,17.947826809654327,28.25937028315238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.287484562844455,0.0,2.699426339505368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.40149398445496,0.0
BA,2050,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.290056091296083,0.0,0.0,0.0,0.0,0.0,0.0,4.677334171123819,0.0,0.0,0.0,0.0,0.0,0.0,4.405331656959122,0.0,0.0,0.0
BE,2050,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.72787393892236,0.0,0.0,0.0,0.0,14.46048015858547,24.12748341200816,0.0,0.0,0.0,0.0,0.0,0.0,13.004429053088877,0.0,0.0,0.0,41.29708082563979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BG,2050,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.480385887825968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7832751292960447,0.0,0.0,0.0,0.0,13.546737295917781,5.2374315173105845,0.0,0.0,0.0
CH,2050,elec,0.0,22.194883365905838,0.0,0.0,0.0,0.0,0.0,60.45227016230779,0.0,0.0,0.0,0.0,19.841214629188833,0.0,0.0,0.0,0.0,0.0,26.286704956526826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,2050,elec,0.0,3.6439034695779022,0.0,0.0,0.0,0.0,0.0,7.865111347007575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.577326684103248,0.0,0.0,0.0,0.0,0.0,8.254422894979596
DE,2050,elec,0.0,49.89456194810576,0.0,28.801895918599424,0.0,34.80874740015639,32.83663208744811,0.0,6.170891832398821,0.0,0.0,0.0,10.437203285839118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.946071257512514,0.0,0.0,0.0,23.20740348416156,0.0,31.404132953859683,0.0,0.0,0.0,1.1807708574597942,0.0,0.0
DK,2050,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.77961058401425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.936145864972871,47.696685953582175,0.0,0.0,0.0,0.0,0.546268907737649,0.0,0.0
EE,2050,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.744268532201792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.515618076790094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,2050,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.26583250056933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.67849173302097,0.0,0.0,0.0,0.0,0.0
FI,2050,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8968688660246076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21689617397133368,0.0,0.0
FR,2050,elec,0.0,0.0,0.0,44.356864528144385,0.0,97.3246437674668,0.0,59.33991001109834,0.0,0.0,60.21707432777796,0.0,0.0,122.12697733476591,0.0,0.0,0.0,0.0,46.25457383869643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GB,2050,elec,0.0,0.0,0.0,154.00024194171007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.89626548845482,0.0,0.0,0.0,0.0,7.157578407209953,0.0,0.0,0.0,0.0,0.0,0.0,110.725721324841,9.69884806235405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR,2050,elec,2.7229512388842685,0.0,0.0,0.0,1.8208126770729691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.284330815789267,0.0,0.0,0.0,0.0,3.8179850438047667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2050,elec,0.0,0.0,9.094208642545077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.605445245173652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4380125033704063,0.0,23.131376899677292,0.0
HU,2050,elec,0.0,11.061743129187583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.576990491103696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.848667696482541,3.966429733673565,0.0,0.0,25.935085784571655
IE,2050,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.751251528168126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,2050,elec,0.0,1.659610216917462,0.0,0.0,0.0,17.310772467182666,0.0,0.0,0.0,0.0,0.0,0.0,12.161333814291083,0.0,4.545471883337717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12935561182584013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8571508374715044,0.0
