carrier,region,2030,2040,2050,units
solar,LU,3.027031611050718,3.607024035566839,4.187016463758475,GW_e
solar,LV,41.8774321083631,43.68982766137896,45.502223209820194,GW_e
solar,ME,5.599618615123399,6.299062397193003,6.998506190051765,GW_e
solar,MK,18.89411221690702,20.91734464439703,22.94057714840688,GW_e
solar,NL,61.48172926570143,76.79239336010326,92.10305909147277,GW_e
solar,NO,104.7921370641278,106.7768404672282,110.98816636243015,GW_e
solar,PL,329.82923992026804,367.5870744497116,405.3449147275337,GW_e
solar,PT,54.49080365078347,61.398071033313016,70.12555395734776,GW_e
solar,RO,237.402543639937,255.6520829308928,275.15333860550106,GW_e
solar,RS,79.4337997603483,86.55731573625542,93.68083197575488,GW_e
solar,SE,74.55184987983462,83.08794471308047,91.83779420693298,GW_e
solar,SI,10.332033181921895,12.609126657241056,14.88622024409668,GW_e
