node,carrier,2030,2040,2050,hist,units
AT,BEV charger,12.41075,29.7858,42.196549999999995,12.41075,GW_e
AT,BioSNG,1.1093525653128223e-06,5.311441378045602e-07,3.854594730093335e-07,0.0,GW_e
AT,CCGT,4.1373009500015305,3.106900360348551,1.7262001676691754,4.1373,GW_e
AT,DAC,-1.2393818973485096e-07,-4.8546548634491946e-08,-3.299696089334197e-08,0.0,GW_e
AT,EV batteries,16.92375,40.617,57.54075,0.0,GW_e
AT,Fischer-Tropsch,7.229872122682127e-07,3.5546843745413427e-07,2.8321420161264293e-05,0.0,GW_e
AT,H2 Electrolysis,1.0481490765529498e-06,1.0237199144834642e-06,2.308069329351886e-06,0.0,GW_e
AT,H2 Fuel Cell,4.3782119702079237e-07,2.350133994732156e-07,1.9722773387363262e-07,0.0,GW_e
AT,H2 Store,5.1533993799363945e-05,5.912985192475994e-05,1.3864495677190426e-05,0.0,"GWh_lhv,h2"
AT,Haber-Bosch,1.8396207762471362e-05,3.0765170609825914e-06,2.228413901092941e-06,0.0,"GW_lhv,nh3"
AT,OCGT,8.292133302861627e-07,2.891968519360261e-07,1.4176612317593912e-07,0.0,GW_e
AT,PHS,5.0443,5.0443,5.0443,5.0443,GW_e
AT,SMR,0.47656069899782805,1.2041792849251924,1.2041794897381144,0.0,GW_e
AT,SMR CC,6.949979658819033e-06,1.976241482137181e-06,1.902841485668809e-07,0.0,GW_e
AT,Sabatier,1.1190044585805628e-06,4.223133424537582e-07,3.5154757657630035e-07,0.0,"GW_lhv,h2"
AT,V2G,12.41075,29.7858,42.196549999999995,12.41075,GW_e
AT,ammonia cracker,7.87483394316594e-07,3.479909181527435e-07,2.361621016432414e-07,0.0,"GW_lhv,nh3"
AT,battery,7.305888117383966e-06,6.976063375226127e-06,9.56119528740977e-06,0.0,GWh_e
AT,battery charger,3.5571109895026316e-06,1.6387585256874059e-06,1.672854418908953e-06,0.0,GW_e
AT,battery discharger,3.5571109895008084e-06,1.6387585256865658e-06,1.6728544189080955e-06,0.0,GW_e
AT,biogas,2294.425245324386,2294.425245324386,2294.425245324386,0.0,GW_e
AT,biogas to gas,1.457969981830095e-06,7.995065103541384e-07,0.2619208979899536,0.0,GW_e
AT,biomass to liquid,6.199553187590075e-07,3.3108811858950384e-07,2.5996637373606167e-07,0.0,GW_e
AT,co2 stored,0.0018236135687131553,0.0040229135782138105,13538.013246036548,0.0,GW_e
AT,coal/lignite,2.9933223285570034e-07,9.717044248537577e-08,4.197378690720764e-08,0.0,GW_e
AT,electricity distribution grid,10.910896138902276,11.803052811287925,13.35135187562785,0.0,GW_e
AT,gas for industry,0.8390401686362465,0.8401820462955839,0.8413232955052886,0.0,GW_e
AT,gas for industry CC,2.356167282124539e-06,1.3411298216624181e-06,1.2426213581987596e-06,0.0,GW_e
AT,gas_stores,4033846.3059848156,4747748.7808341645,6710959.216327819,0.0,GW_e
AT,helmeth,4.2116876333356996e-07,1.8958376269935836e-07,1.649036381680641e-07,0.0,GW_e
AT,home battery,9.759806382027818e-06,2.343783622200599e-05,4.910605721497121,0.0,GWh_e
AT,home battery charger,4.424354023589856e-06,6.315210805452678e-06,0.8627054959387472,0.0,GW_e
AT,home battery discharger,4.663678629822371e-06,6.656816683108909e-06,0.9093714390367282,0.0,GW_e
AT,hydro,3.4266199999999998,3.4266199999999998,3.4266199999999998,3.4266199999999998,GW_e
AT,methanolisation,-2.9439608221015953e-06,-4.159201360706781e-06,-2.018058573694763e-06,0.0,GW_e
AT,nuclear,4.038392527014032e-07,2.45118870894883e-07,1.8644055373957032e-07,0.0,GW_e
AT,nuclear (SMR),1.2825891526057194e-07,4.5310223731491885e-08,2.7641806388642524e-08,0.0,GW_e
AT,oil,9.098967712158059e-07,3.1516056904654263e-07,1.5459678376966604e-07,0.0,GW_e
AT,onwind,3.7358130922223265,0.5098323703655977,2.3142323752864196e-06,3.73581,GW_e
AT,process emissions,0.504565424774747,0.4452026992719718,1.921582709769609e-07,0.0,GW_e
AT,process emissions CC,1.1389692824057377e-06,3.062512070546248e-06,0.38584460353488687,0.0,GW_e
AT,residential / services air heat pump,0.2147412958386318,0.09675769619597438,1.126300255634204,0.214737951466062,GW_e
AT,residential / services biomass boiler,0.18702296331506563,0.18673403412812606,0.18672555337324603,0.0,GW_e
AT,residential / services gas boiler,9.336967201670548,11.013920459411036,10.654346392155945,6.051983572197598,GW_e
AT,residential / services oil boiler,11.707748672099353,5.9783644005463525,5.062581940100097,11.268110075900406,GW_e
AT,residential / services resistive heater,1.7337513860285336,5.140141884161242,5.452698254453019,0.0,GW_e
AT,residential / services rural ground heat pump,0.1546502402671908,0.25819929326786667,0.5029787602363208,0.15464615384615382,GW_e
AT,residential / services solar thermal,4.0534493188940454e-05,2.3690584995864398e-05,4.887780852712077e-06,0.0,GW_e
AT,residential / services water tanks charger,4.305134691973615,5.093451343095409,9.217052899746218,0.0,GW_e
