carrier,component,node,item,2030,2040,2050,units,sector
AC,generators,NO,offwind,0.15135301603950913,0.15045743370197573,,TWh,Offwind
AC,generators,NO,offwind-ac,9.770741795069412e-06,7.741359219306095e-06,6.459516326676686e-06,TWh,Offwind
AC,generators,NO,offwind-dc,1.9622354197282086e-05,12.257849489313147,12.224988265479299,TWh,Offwind
AC,generators,NO,onwind,7.946942326230853,1.6261803368650183,1.8992238088802512e-05,TWh,Onwind
AC,generators,NO,ror,0.9240172075547104,0.9239954114433673,0.923933519659988,TWh,Hydroelectricity
AC,generators,NO,solar,0.21680780983162523,1.8063626211830963,1.8061693958027016,TWh,Solar
AC,generators,PL,offwind-ac,5.854493438099701e-06,4.317197471648765e-06,4.4165360848690245e-06,TWh,Offwind
AC,generators,PL,offwind-dc,1.0048287233023852e-05,1.0059122831596656e-05,1.2466366851121057e-05,TWh,Offwind
AC,generators,PL,onwind,46.75593409691391,100.21797696472609,147.5414037005615,TWh,Onwind
AC,generators,PL,ror,1.0199596354468428,1.019888368548559,1.0198071509802853,TWh,Hydroelectricity
AC,generators,PL,solar,10.49654656571557,10.496231355628847,10.495680830390835,TWh,Solar
AC,generators,PT,offwind,0.06119037134695003,,,TWh,Offwind
AC,generators,PT,offwind-ac,3.917449751686586e-06,2.869048109718876e-06,3.1369589629491087e-06,TWh,Offwind
AC,generators,PT,onwind,8.439461223273211,0.49220438937130345,9.148517581961188e-06,TWh,Onwind
AC,generators,PT,ror,7.1188578102541875,7.1186565534138975,7.118594325944485,TWh,Hydroelectricity
AC,generators,PT,solar,16.695270345384177,25.229607034022067,64.31922550293251,TWh,Solar
AC,generators,RO,offwind-ac,1.4873877332942133e-06,1.179922370382044e-06,1.3413778162115198e-06,TWh,Offwind
AC,generators,RO,offwind-dc,1.562882894283398e-06,1.309417673746272e-06,1.6318797773824866e-06,TWh,Offwind
AC,generators,RO,onwind,3.363267646977457,2.0936810504812037e-06,2.110732189281794e-06,TWh,Onwind
AC,generators,RO,ror,1.9806494102254566,1.9805730745946495,1.9804143281170299,TWh,Hydroelectricity
AC,generators,RO,solar,1.6994776442780524,1.6856282674394183,18.396482398091777,TWh,Solar
AC,generators,RS,onwind,0.35242625634863955,9.803864725163716e-07,1.0381061923455777e-06,TWh,Onwind
