cluster,,,37m,37m,37m
ll,,,v3.0,v3.0,v3.0
opt,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
generators,BA0 0,services rural solar thermal,0.04713155983195453,0.03818130980121257,0.03341449994749093
generators,BA0 0,services urban decentral solar thermal,0.048093812275070355,0.03952614951835606,0.03558917967150493
generators,BA0 0,urban central solar thermal,0.05417333396050738,0.05413084413568234,0.0541690987315896
generators,BA1 0,onwind,0.047293743971684156,0.04679288896724863,0.030276711256348735
generators,BA1 0,solar,0.13321783029545142,0.1279884383238033,0.12104172804373901
generators,BA1 0,solar rooftop,0.13321902290253415,0.13169961718411635,0.13041682583017886
generators,BE0 0,gas,0.3908966490603465,0.4169382559670238,0.20602663294479168
generators,BE0 0,residential rural solar thermal,0.02471564599127251,0.023286433602049218,0.020114441300415595
generators,BE0 0,residential urban decentral solar thermal,0.025964458218781253,0.024585909235816106,0.021265996932034955
generators,BE0 0,services rural solar thermal,0.025720766261876457,0.02416240293496473,0.020977088781289396
generators,BE0 0,services urban decentral solar thermal,0.025773775847221524,0.02504793265679207,0.02189933376680111
generators,BE0 0,urban central solar thermal,0.027301527199666692,0.02840691328539145,0.024647182684783105
generators,BE1 0,offwind,0.417802502947763,,
generators,BE1 0,offwind-ac,0.3984921262494504,0.4090192734696385,0.4105864433245095
generators,BE1 0,offwind-dc,0.4571903490646939,0.4529510851484945,0.44826850471162044
generators,BE1 0,onwind,0.33036054291531897,0.32395275676459756,0.32208043972320727
generators,BE1 0,solar,0.1123197669951439,0.11231499058714313,0.11231225858339274
generators,BE1 0,solar rooftop,0.11231894479540555,0.11231564439792104,0.11231318186755798
generators,BE1 1,onwind,0.2679742325700018,0.2540830000725191,0.23934374691679455
generators,BE1 1,solar,0.11022440564666633,0.11021924022868831,0.11021465958670483
generators,BE1 1,solar rooftop,0.11022500037715784,0.11022283770543237,0.11022139618890679
generators,BE1 2,onwind,0.28624121782204864,0.2792069677097997,0.2782994568953434
generators,BE1 2,ror,0.46295940579215517,0.4625324456593239,0.4615762510757915
generators,BE1 2,solar,0.10985380072916724,0.10985054157150842,0.10984881769443385
generators,BE1 2,solar rooftop,0.10985351968263361,0.10985103011217949,0.10984821850369968
generators,BE1 3,onwind,0.2727112913743294,0.2603059165747316,0.2682279629099412
generators,BE1 3,ror,0.4629967396378003,0.46296258993088224,0.46289843101817085
generators,BE1 3,solar,0.10690139228499182,0.10689522324902115,0.10689082161993649
generators,BE1 3,solar rooftop,0.10690157119868814,0.10689846642153056,0.10689651999119018
generators,BG0 0,gas,0.001095995217181784,0.0007873262848821465,0.00037293164658132273
generators,BG0 0,residential rural solar thermal,0.052508159113912725,0.05265971131835138,0.046430050965231125
generators,BG0 0,residential urban decentral solar thermal,0.04627512452401521,0.054099932991095084,0.0490481539722417
generators,BG0 0,services rural solar thermal,0.05271730302447433,0.054268034883020164,0.050620174879862576
generators,BG0 0,services urban decentral solar thermal,0.04666419995475598,0.054124442609998165,0.04822910737894286
generators,BG0 0,urban central solar thermal,0.049051437677643,0.06296894322664692,0.06296806572039518
generators,BG1 0,onwind,0.08084950819522908,0.055340381693764776,0.05604422641848763
