cluster,,,,37m,37m,37m
ll,,,,v3.0,v3.0,v3.0
opt,,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
planning_horizon,,,,2030,2040,2050
generators,capital,DE1 17,ror,1920236.3404349887,1920236.3404349887,1920236.3404349887
generators,capital,DE1 17,solar,137074787.65887615,137074757.37867722,132847064.65182912
generators,capital,DE1 17,solar rooftop,1130.7280587882017,60979486.64467136,114338205.04921965
generators,capital,DE1 18,onwind,349232063.93508,22521716.79968309,100.61461806944922
generators,capital,DE1 18,ror,60712048.341530085,60712048.341530085,60712048.341530085
generators,capital,DE1 18,solar,137074843.12763825,137074852.42898768,132847150.05301319
generators,capital,DE1 18,solar rooftop,69466624.86814897,124344925.71801421,172364940.5913008
generators,capital,DE1 19,onwind,349232151.9167651,22521835.22128543,207.2131578822891
generators,capital,DE1 19,ror,836097.534500636,836097.534500636,836097.534500636
generators,capital,DE1 19,solar,137074756.2399934,137074732.01953825,132847056.55247685
generators,capital,DE1 19,solar rooftop,700.022788071685,38715875.19675786,72593323.90338239
generators,capital,DE1 2,onwind,349232084.53978455,22521736.821706954,119.31025093776671
generators,capital,DE1 2,ror,10502671.33722722,10502671.33722722,10502671.33722722
generators,capital,DE1 2,solar,137074830.1803707,137074806.992727,132847118.24605468
generators,capital,DE1 2,solar rooftop,122675406.00724448,219588388.22249216,304389900.51829845
generators,capital,DE1 20,onwind,349232035.707967,22521691.381141424,77.35945183212725
generators,capital,DE1 20,ror,219089801.37877992,219089801.37877992,219089801.37877992
generators,capital,DE1 20,solar,137074938.2949383,137075127.32254845,132847607.78454708
generators,capital,DE1 20,solar rooftop,80714923.09947248,144479325.9307108,200274924.16291308
generators,capital,DE1 21,offwind,477140993.35285395,20074082.879404116,
generators,capital,DE1 21,offwind-ac,209.04224563754252,175.94159605092142,184.8442832162366
generators,capital,DE1 21,onwind,349232327.5293302,22522979.882969733,5945.58405258698
generators,capital,DE1 21,ror,142091.70979885585,142091.70979885585,142091.70979885585
generators,capital,DE1 21,solar,137074858.43021291,137074849.7048986,132847117.08447687
generators,capital,DE1 21,solar rooftop,50148915.50450981,89766317.692999,124432627.89280212
generators,capital,DE1 22,onwind,349232117.4280684,22521774.190762654,149.19459389570676
generators,capital,DE1 22,ror,43941636.899964914,43941636.899964914,43941636.899964914
generators,capital,DE1 22,solar,137074842.67870417,137074887.22483602,132847202.73759937
generators,capital,DE1 22,solar rooftop,136713680.92658502,244716836.49394378,339222554.71910286
generators,capital,DE1 23,onwind,349232088.89054203,22521740.87508833,120.57376279810363
generators,capital,DE1 23,ror,1390105.6324953327,1390105.6324953327,1390105.6324953327
generators,capital,DE1 23,solar,137074839.34311077,137074883.51214525,132847207.62594336
generators,capital,DE1 23,solar rooftop,235409783.71509406,421382391.7299734,584113517.8097078
generators,capital,DE1 24,onwind,349232090.4715061,22521743.19948389,123.74895854284934
generators,capital,DE1 24,ror,19791131.621668007,19791131.621668007,19791131.621668007
generators,capital,DE1 24,solar,137074813.9324516,137074813.64613238,132847127.7233594
generators,capital,DE1 24,solar rooftop,78585198.92982237,140667129.05029088,194990516.516145
generators,capital,DE1 25,onwind,349232073.1075555,22521724.155970745,106.702799611649
generators,capital,DE1 25,ror,83717743.14951073,83717743.14951073,83717743.14951073
generators,capital,DE1 25,solar,137074923.2901372,137075001.1247625,132847380.44656458
generators,capital,DE1 25,solar rooftop,144474181.27906844,258608094.138245,358478394.04528844
generators,capital,DE1 26,onwind,349232171.7132256,22521867.17168803,247.51535572327873
generators,capital,DE1 26,ror,76280.81262885946,76280.81262885946,76280.81262885946
generators,capital,DE1 26,solar,137074841.50611797,137074816.93570212,132847098.18267766
generators,capital,DE1 26,solar rooftop,240833599.2585578,431091002.59014994,597571440.8987857
generators,capital,DE1 27,onwind,349232216.4166822,22521966.488761004,331.30812800119276
generators,capital,DE1 27,ror,116664.7722559027,116664.7722559027,116664.7722559027
generators,capital,DE1 27,solar,137074835.53264737,137074809.9310166,132847100.513456
generators,capital,DE1 27,solar rooftop,2973.862872606618,119454874.71387073,223981160.14909708
generators,capital,DE1 3,onwind,349232073.9355012,22521727.084060743,109.29284686578372
generators,capital,DE1 3,ror,7417196.225713527,7417196.225713527,7417196.225713527
generators,capital,DE1 3,solar,137074852.59852737,137074916.87851247,132847283.612159
generators,capital,DE1 3,solar rooftop,212675185.55288616,380687567.5656472,527703004.3077903
generators,capital,DE1 4,onwind,349232138.6430831,22521806.22751932,182.54253840990438
generators,capital,DE1 4,ror,5012696.381261953,5012696.381261953,5012696.381261953
generators,capital,DE1 4,solar,137074843.3836343,137074803.51972437,132847087.18272687
generators,capital,DE1 4,solar rooftop,93937337.89838853,168147383.18162376,233083202.78247702
generators,capital,DE1 5,offwind,477140993.35285395,20074082.879404116,
generators,capital,DE1 5,offwind-ac,227.64934249197054,196.61304951883344,204.39097552824697
generators,capital,DE1 5,offwind-dc,249.4239420065373,363.0336094742912,999.9721955830138
generators,capital,DE1 5,onwind,349232460.58855,1997065674.609545,1995102242.3001509
generators,capital,DE1 5,solar,137074852.6168586,137074934.22217995,132847194.88872804
generators,capital,DE1 5,solar rooftop,34050076.305039026,60949472.75620834,84487180.28263094
generators,capital,DE1 6,onwind,349232049.7223829,22521715.89099916,100.7878440394229
generators,capital,DE1 6,ror,51514676.321581416,51514676.321581416,51514676.321581416
generators,capital,DE1 6,solar,137074822.15313995,137074903.76360068,132847355.2761909
generators,capital,DE1 6,solar rooftop,174287411.84406975,311973635.66156703,432452852.6823286
generators,capital,DE1 7,offwind,477140993.35285395,20074082.879404116,
generators,capital,DE1 7,offwind-ac,401.7684095221241,388151290.8204984,388151326.3725735
generators,capital,DE1 7,offwind-dc,663.2638459493986,6411951241.995159,13753948467.02094
generators,capital,DE1 7,onwind,349232372.79442394,22772485.87096924,1892427516.0399349
generators,capital,DE1 7,solar,137074807.37325945,137074812.48395476,132847109.30193038
generators,capital,DE1 7,solar rooftop,71716587.0534037,128372494.3630092,177947962.7472893
generators,capital,DE1 8,offwind,477140993.35285395,20074082.879404116,
generators,capital,DE1 8,offwind-ac,260.5348836321421,240.44834093172304,225.49322964179638
generators,capital,DE1 8,offwind-dc,472.53908170195405,5954.489259310566,38763.33551544369
generators,capital,DE1 8,onwind,4781148248.108303,4454437950.547906,4364299613.0722685
generators,capital,DE1 8,ror,32905.4485849982,32905.4485849982,32905.4485849982
