cluster,,,,37m,37m,37m
ll,,,,v3.0,v3.0,v3.0
opt,,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
AC,generators,IT0 0,onwind,8138401.860717481,21174578.29312863,20287510.540437117
AC,generators,IT0 0,ror,31061898.651123233,31061781.234505534,31061738.147253748
AC,generators,IT0 0,solar,154765128.896325,162845323.22364447,282589243.0524857
AC,generators,IT6 0,offwind-ac,0.7706384345739803,0.535059992539563,0.573994347596759
AC,generators,IT6 0,onwind,2134097.5458596596,154229.25598781338,893571.5236139442
AC,generators,IT6 0,ror,253021.49784757197,252891.95591883894,252686.68547834692
AC,generators,IT6 0,solar,6845455.834735002,8279606.408601477,14055863.97446344
AC,generators,LT2 0,offwind-ac,2.2204608544295565,1.7592552825801417,1.6912337118385257
AC,generators,LT2 0,offwind-dc,2.698592556479499,2.4107575016400893,2.5568472637824593
AC,generators,LT2 0,onwind,1659836.0811416171,550313.2012905643,7.3157428576551435
AC,generators,LT2 0,ror,510443.9987618814,510407.51970927406,510335.3156425374
AC,generators,LT2 0,solar,375040.5663571367,374930.1204346263,374730.3289074331
AC,generators,LU0 0,onwind,337263.4807611938,55244.550937153705,3.0212325484945755
AC,generators,LU0 0,ror,215849.05461368218,215806.91063704184,215786.56891968567
AC,generators,LU0 0,solar,297231.56181870995,297060.47014920815,1390168.7023947446
AC,generators,LV2 0,offwind-ac,2.6331528964821524,1.7950989956924455,1.4006899167270501
AC,generators,LV2 0,offwind-dc,3.736697374488252,2.8409366790801704,2.149159659566843
AC,generators,LV2 0,onwind,270464.24527622043,127177.28091335525,11.163887953456356
AC,generators,LV2 0,ror,2837998.975009109,2837919.1626458364,2837869.4886084627
AC,generators,LV2 0,solar,48881.625295014535,48808.342230142654,48859.39190786316
AC,generators,ME0 0,offwind-ac,0.12690820947462142,0.07342878985512082,0.08131534727127876
AC,generators,ME0 0,onwind,42619.42409494627,0.06892711027204322,0.0629238499128497
AC,generators,ME0 0,ror,1061236.330179344,1059880.196300052,1061276.646636305
AC,generators,ME0 0,solar,23938.976033775834,23082.203874872896,5643286.069021633
AC,generators,MK0 0,onwind,9609.912414764327,0.038991244665242716,0.03379087954804984
AC,generators,MK0 0,solar,113540.8206568538,2122780.268252696,21485015.82840347
AC,generators,NL0 0,offwind,9807544.50558144,397664.2657786126,
AC,generators,NL0 0,offwind-ac,11.623004676769048,12.95604192422399,16.930084636844132
AC,generators,NL0 0,offwind-dc,18.1032513928413,23.84716247020951,25.72658645100623
AC,generators,NL0 0,onwind,66646285.56693655,71625826.26569846,84938072.71858229
AC,generators,NL0 0,solar,17871184.480698943,17870944.87408393,28102114.014138695
AC,generators,NO1 0,offwind,151353.01603950912,150457.43370197574,
AC,generators,NO1 0,offwind-ac,9.770741795069412,7.741359219306095,6.459516326676686
AC,generators,NO1 0,offwind-dc,19.622354197282085,12257849.489313148,12224988.2654793
AC,generators,NO1 0,onwind,7946942.326230853,1626180.3368650184,18.992238088802512
AC,generators,NO1 0,ror,924017.2075547104,923995.4114433674,923933.5196599881
AC,generators,NO1 0,solar,216807.80983162523,1806362.6211830964,1806169.3958027018
AC,generators,PL0 0,offwind-ac,5.854493438099701,4.3171974716487655,4.4165360848690245
AC,generators,PL0 0,offwind-dc,10.048287233023853,10.059122831596657,12.466366851121057
AC,generators,PL0 0,onwind,46755934.09691391,100217976.96472609,147541403.7005615
AC,generators,PL0 0,ror,1019959.6354468429,1019888.3685485589,1019807.1509802853
AC,generators,PL0 0,solar,10496546.565715572,10496231.355628848,10495680.830390835
AC,generators,PT0 0,offwind,61190.371346950036,,
AC,generators,PT0 0,offwind-ac,3.917449751686586,2.869048109718876,3.136958962949109
AC,generators,PT0 0,onwind,8439461.223273212,492204.3893713035,9.148517581961189
AC,generators,PT0 0,ror,7118857.810254188,7118656.553413898,7118594.325944485
