cluster,,37m,37m,37m
ll,,v3.0,v3.0,v3.0
opt,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
links,gas pipeline,0.3707807868609789,0.39040967508545477,0.3404582586594207
links,gas pipeline new,0.9999573873505703,0.9999673285108469,0.3467526031743252
links,helmeth,0.3484118382064077,0.39808128008226834,0.5001902310493938
links,home battery charger,0.2974704581873606,0.21552317338114985,0.20522304291074753
links,home battery discharger,0.2677234243723972,0.19397085604309766,0.18470073862056988
links,lignite,0.892770615102216,0.013775193327915106,0.004304593475571193
links,methanolisation,0.999094789820297,0.9399608047989422,0.7838051954533888
links,nuclear,0.975759308224607,0.9268808181051326,0.8958131923810699
links,nuclear (SMR),0.016126215783597818,0.018547487432885215,0.012730020011987402
links,oil,0.00024052131088414492,3.690099413563155e-07,1.7238576282606886e-07
links,process emissions,0.9999996330946809,0.9478103352197863,0.9566501907038176
links,process emissions CC,0.7682458248535242,0.9705812696743703,0.9869525633972746
links,residential rural biomass boiler,0.6892342012329291,0.5198380847435529,0.4111085296194029
links,residential rural gas boiler,0.2977303348554341,0.4852300370736969,0.3094326541967237
links,residential rural ground heat pump,0.9054152558782577,0.9587881380619315,0.8248238015997075
links,residential rural micro gas CHP,0.5328992019461256,0.5312276778204286,0.4591629849504984
links,residential rural oil boiler,0.09143485548234195,0.13213096235902116,0.035330189736086724
links,residential rural resistive heater,0.05378709391133369,0.11171529247390258,0.14995648253502045
links,residential rural water tanks charger,0.025968434173509924,0.04849499417897191,0.05083727231228614
links,residential rural water tanks discharger,0.026944269942023844,0.048528922392964226,0.049345323306666536
links,residential urban decentral air heat pump,0.7896527807677824,0.9566327385911596,0.8664876791839667
links,residential urban decentral biomass boiler,0.6861962176551171,0.5914373357303322,0.45458560532403525
links,residential urban decentral gas boiler,0.5027493395956434,0.5064932177273984,0.2643466192783876
links,residential urban decentral micro gas CHP,0.5347076366876008,0.5328686404269393,0.4615128840928995
links,residential urban decentral oil boiler,0.17485814104667796,0.13332949589687415,0.00851904884318769
links,residential urban decentral resistive heater,0.0859781591930631,0.13775845741023496,0.16157350356272618
links,residential urban decentral water tanks charger,0.032710981098525715,0.04923689910305233,0.04828371131430214
links,residential urban decentral water tanks discharger,0.03437657176096759,0.0499166222943369,0.051676688961542365
links,services rural biomass boiler,0.858375743258442,0.5603387442611338,0.42041171847437603
links,services rural gas boiler,0.46346627977863,0.4941053614513346,0.2956383433616945
links,services rural ground heat pump,0.9865015161288,0.9854737569067346,0.9270690349684915
links,services rural micro gas CHP,0.5346725502972173,0.5310768019117189,0.45938232106375876
links,services rural oil boiler,0.1065468882367518,0.1341621021249579,0.03131778173418275
links,services rural resistive heater,0.08836322908478951,0.10699164934716392,0.14250642060825444
links,services rural water tanks charger,0.03741919157333796,0.04200963409939762,0.0486301328015865
links,services rural water tanks discharger,0.0305174267451801,0.03380932184931908,0.04303786474083412
links,services urban decentral air heat pump,0.7687169146903869,0.9452996911828023,0.8547288305543218
links,services urban decentral biomass boiler,0.6551400742030755,0.5910807438452124,0.4513346308036832
links,services urban decentral gas boiler,0.5082146634757487,0.5009281001734569,0.257664875588854
