cluster,,,37m,37m,37m
ll,,,v3.0,v3.0,v3.0
opt,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
gas,links,CCGT0,-307376.73126353894,-278989.0294397132,-136234.25749370933
gas,links,OCGT0,-0.027626803183339724,-0.008016724433573496,-80.86423156929007
gas,links,SMR CC0,-24688.455550025436,-32532.79231703497,-23928.015285006262
gas,links,SMR0,-36642.78287596066,-54655.24631829079,-19996.646997236792
gas,links,Sabatier1,0.007134772513300842,0.002561641128704117,0.004869174827150133
gas,links,biogas to gas1,0.01624451023874719,0.015975503517139625,39447.31732924217
gas,links,gas for industry CC0,-0.045032605066427714,-0.03924984740101964,-3255.968727609549
gas,links,gas for industry0,-43503.40105241628,-43517.1062690105,-40595.90415210809
gas,links,gas pipeline new0,2043.7133657499062,-352.41870106690703,-3317.778224566405
gas,links,gas pipeline new1,-2043.7133657499062,352.41870106690703,3317.778224566405
gas,links,gas pipeline0,-183250.6894452526,-161299.22023720824,-169880.20645131476
gas,links,gas pipeline1,183250.6894452526,161299.22023720824,169880.20645131476
gas,links,helmeth1,0.008870522725486421,0.004523978597501402,0.003635682738269521
gas,links,residential rural gas boiler0,-147378.69048192422,-63832.27476026349,-63828.32072179329
gas,links,residential rural micro gas CHP0,-0.0038541054567276765,-0.0013494378792045774,-0.0005707440116801884
gas,links,residential urban decentral gas boiler0,-162174.3939212631,-115547.57073579624,-115532.4224781583
gas,links,residential urban decentral micro gas CHP0,-0.003969134273842913,-0.0012651417464324462,-0.0005497264161622353
gas,links,services rural gas boiler0,-65649.27934811515,-27985.427010299423,-27982.644987510717
gas,links,services rural micro gas CHP0,-0.0038915449724947963,-0.001336865853267101,-0.0005746003677159922
gas,links,services urban decentral gas boiler0,-67341.90642205878,-50525.858118611555,-50517.30889994604
gas,links,services urban decentral micro gas CHP0,-0.004017729913546534,-0.0012696495081676877,-0.0005524143656776469
gas,links,urban central gas CHP CC0,-0.039322469026151025,-0.017782323101836438,-0.009413896569026648
gas,links,urban central gas CHP0,-0.0960275731696733,-0.043716856848267704,-0.029716641241566318
gas,links,urban central gas boiler0,-148442.37278396767,-246838.9870283667,-239053.44262391047
gas,stores,gas,547747.1618507504,524553.6159354448,568458.3462820053
gas for industry,links,gas for industry CC1,0.04052934455978494,0.03532486266091767,2930.371854848595
gas for industry,links,gas for industry1,43503.40105241628,43517.1062690105,40595.90415210809
gas for industry,loads,gas for industry,-43503.42465753425,-43517.12328767123,-43526.25570776256
home battery,links,home battery charger1,0.1469104248279987,41183.75069936735,162389.57846521446
home battery,links,home battery discharger0,-0.14486175337452875,-45759.706000519785,-179554.04164611525
home battery,stores,home battery,0.1380604514914187,45759.70099911297,200547.31369534627
lignite,generators,lignite,69340.91299068945,894.9140867056921,127.6575558300871
lignite,links,lignite0,-76463.58416974862,-62557.577442987546,-25600.457436432807
lignite,stores,lignite,9095.815075278282,60628.59872996807,22669.08519899845
low voltage,generators,solar rooftop,346713.6071949677,731277.4384286971,1115610.54544506
low voltage,links,BEV charger0,-218404.50944239236,-474164.0437155048,-685603.2160153559
low voltage,links,V2G1,131468.49943065998,256676.91250644837,329915.905793515
low voltage,links,electricity distribution grid1,484107.28537503455,532067.5391792337,610959.6052702798
low voltage,links,home battery charger0,-0.15485718482647545,-43411.48493285108,-171173.64540823593
low voltage,links,home battery discharger1,0.13742792595272807,43411.46880639499,170339.9204071359
low voltage,links,residential rural ground heat pump0,-727.7670277636568,-4317.528213915748,-8984.018858641262
low voltage,links,residential rural micro gas CHP1,0.0013527910153114144,0.00047365269560080663,0.0002003311480997461
low voltage,links,residential rural resistive heater0,-9088.828673212885,-33688.06349052528,-39035.56410185273
low voltage,links,residential urban decentral air heat pump0,-1809.034837375293,-8505.143970702777,-9949.062852713021
low voltage,links,residential urban decentral micro gas CHP1,0.0013931661301188625,0.0004440647529977886,0.00019295397207294457
low voltage,links,residential urban decentral resistive heater0,-41161.693023370026,-61974.92622183128,-69317.49375513544
low voltage,links,services rural ground heat pump0,-1594.301293367016,-6693.0688698836,-8971.356010513884
low voltage,links,services rural micro gas CHP1,0.0013659322853456736,0.0004692399144967525,0.00020168472906831322
low voltage,links,services rural resistive heater0,-7798.02351011303,-20125.736318726107,-20934.229070706
low voltage,links,services urban decentral air heat pump0,-245.3317013146949,-2695.873302635188,-3236.9873589424146
low voltage,links,services urban decentral micro gas CHP1,0.0014102231996548332,0.00044564697736685835,0.00019389744235285403
low voltage,links,services urban decentral resistive heater0,-23519.07508925828,-33912.09180847569,-34314.652150374925
low voltage,links,urban central air heat pump0,-3522.3126141923,-14028.708171762042,-60747.20791607512
low voltage,links,urban central resistive heater0,-90.34901040975662,-89764.12224508918,-111037.67030100545
low voltage,loads,agriculture electricity,-5121.130714199962,-5121.130714199962,-5121.130714199962
low voltage,loads,electricity,-321703.6625387653,-321703.6625387653,-321703.6625387653
low voltage,loads,industry electricity,-193063.92694063927,-193802.5114155251,-194162.100456621
methanol,links,methanolisation1,18728.063814472443,46447.969233915544,79573.83948010614
methanol,loads,shipping methanol,-18711.11736265236,-43659.27384618884,-62370.391208841196
methanol,stores,methanol,8191.596170425415,19332.355256795883,22583.46740937233
oil,generators,oil,611210.5261629807,356843.7226936168,171892.00565851948
oil,links,Fischer-Tropsch1,0.019616673604764386,0.009555476406378117,4400.793137129272
oil,links,biomass to liquid1,0.004131786871792291,0.002892573970760536,0.0031687171611021183
oil,links,oil0,-2868.6009856052874,-0.004493667501900859,-0.003312148642536207
oil,links,residential rural oil boiler0,-95811.37341321865,-82301.38864522605,-75844.53413954932
oil,links,residential urban decentral oil boiler0,-218036.10391055513,-160985.17155911002,-89616.68485431207
oil,links,services rural oil boiler0,-37642.34278581261,-28048.04974247657,-27129.388411820473
oil,links,services urban decentral oil boiler0,-84606.8788159458,-60789.61183587135,-38870.46670164285
oil,links,urban central oil boiler0,-26056.139161771567,-1926.7768209253618,
oil,loads,agriculture machinery oil,-9888.803758051696,-9888.803758051696,-9888.803758051696
oil,loads,kerosene for aviation,-69891.06513805778,-69891.06513805778,-69891.06513805778
oil,loads,land transport oil,-524520.4846700468,-224794.49343002005,
oil,loads,naphtha for industry,-83152.96803652968,-83152.96803652968,-83152.96803652968
oil,loads,shipping oil,-50208.16492311716,-21517.784967050215,
oil,stores,oil,507985.75040495396,339652.7106615305,146524.75088906288
process emissions,links,process emissions CC0,-0.031487278870253106,-5212.202317895031,-17442.9169899679
process emissions,links,process emissions0,-19373.266678290598,-14122.231267477287,-0.005957510778818193
process emissions,loads,process emissions,19373.287671232876,18444.06392694064,17442.922374429225
residential rural heat,generators,residential rural solar thermal,0.08060087917824381,1024.5180908568732,1181.8454693015751
residential rural heat,links,residential rural biomass boiler1,5222.638966503527,7285.076593019508,8033.12258816779
residential rural heat,links,residential rural gas boiler1,144431.11667228575,62837.784926611064,62833.89029951574
residential rural heat,links,residential rural ground heat pump1,8538.896290019586,17757.743632841404,36815.693896810044
residential rural heat,links,residential rural micro gas CHP2,0.0011682616277863772,0.0004082583165936387,0.00015883189345429352
residential rural heat,links,residential rural oil boiler1,86230.2360718968,74071.24978070345,68260.08072559438
residential rural heat,links,residential rural resistive heater1,51405.21140724837,30319.25714147275,35132.00769166746
residential rural heat,links,residential rural water tanks charger0,-26327.80705348839,-32891.801888760056,-37796.45183533851
residential rural heat,links,residential rural water tanks discharger1,15902.791819659209,20759.30598922512,23821.30130657967
residential rural heat,loads,residential rural heat,-224892.43700808767,-201538.24165690166,-178184.04630571563
residential rural water tanks,links,residential rural water tanks charger1,22028.476161653736,27520.57064032554,31624.291250627728
residential rural water tanks,links,residential rural water tanks discharger0,-19006.56366637888,-24810.931025726208,-28470.5405839365
residential rural water tanks,stores,residential rural water tanks,18997.033608241745,24848.507727569206,28534.44890493139
residential urban decentral heat,generators,residential urban decentral solar thermal,0.07843672968521252,2865.6894892382256,2860.890899663779
residential urban decentral heat,links,residential urban decentral air heat pump1,54993.35126536408,35142.104297742524,41102.438457461096
residential urban decentral heat,links,residential urban decentral biomass boiler1,14030.15298566885,16897.714616479534,17073.277759615674
residential urban decentral heat,links,residential urban decentral gas boiler1,158930.90604283786,113752.25726167177,113737.33628461338
residential urban decentral heat,links,residential urban decentral micro gas CHP2,0.0011696720414993604,0.00040837885682817285,0.00015860728653655746
residential urban decentral heat,links,residential urban decentral oil boiler1,196232.49351949964,144886.654403199,80655.01636888087
residential urban decentral heat,links,residential urban decentral resistive heater1,80402.25004600323,55777.43359964815,62385.744379621894
residential urban decentral heat,links,residential urban decentral water tanks charger0,-87195.31734986797,-71535.03098982984,-71525.95786602798
residential urban decentral heat,links,residential urban decentral water tanks discharger1,50509.90798200178,43501.89531641699,39150.56988189253
residential urban decentral heat,loads,residential urban decentral heat,-508038.4232701729,-366378.8714800586,-218967.69209134884
residential urban decentral water tanks,links,residential urban decentral water tanks charger1,72956.32202663453,59853.36042919062,59845.76894650561
residential urban decentral water tanks,links,residential urban decentral water tanks discharger0,-60368.002846900665,-51992.2257875188,-46791.645610006606
residential urban decentral water tanks,stores,residential urban decentral water tanks,60362.04453156757,52018.959685773334,47759.420786029936
services rural heat,generators,services rural solar thermal,0.08456671094880899,643.3717709652735,991.1481618323967
services rural heat,links,services rural biomass boiler1,4836.4444133748975,5098.108899403181,5145.385210188405
services rural heat,links,services rural gas boiler1,64336.29376115284,27543.88830817903,27541.163705599905
services rural heat,links,services rural ground heat pump1,8664.59364433327,27586.552167414568,36769.26579644867
services rural heat,links,services rural micro gas CHP2,0.001191960566860731,0.0004086978188551387,0.00015885258151546947
