cluster,,,37m,37m,37m
ll,,,v3.0,v3.0,v3.0
opt,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
generators,BA0 0,urban central solar thermal,155.36261379505848,155.36730847787334,155.364752416732
generators,BA1 0,onwind,134.70062354955726,48.00040564499273,0.00035611410233413464
generators,BA1 0,solar,99.31633076244506,99.3074018919001,99.53192129597512
generators,BA1 0,solar rooftop,3833.0430275911503,7666.08598025721,11499.128976431559
generators,BE0 0,gas,39563.050946355725,39563.050946355725,39563.050946355725
generators,BE0 0,residential rural solar thermal,0.002316537106670855,0.0008677033080755402,0.00037092293044501355
generators,BE0 0,residential urban decentral solar thermal,0.0026422090176308017,0.0009662208715193465,0.00040409429650360376
generators,BE0 0,services rural solar thermal,0.0025286540557836784,0.0009183705393444286,0.00039042500184859643
generators,BE0 0,services urban decentral solar thermal,0.002577162278036165,0.000958868623580201,0.00040913711032066396
generators,BE0 0,urban central solar thermal,0.004590145608657333,0.0019828564967146562,0.0007570062954979999
generators,BE1 0,offwind,2261.8,,
generators,BE1 0,offwind-ac,0.0075479143423112325,2065.305651482194,2065.3078019908908
generators,BE1 0,offwind-dc,3934.6943489758437,3934.6943489758437,3934.6922189221254
generators,BE1 0,onwind,2806.4556875914172,2203.7306875914173,2806.4558708540367
generators,BE1 0,solar,1724.1044708352101,1724.1202490389737,9853.451448740045
generators,BE1 0,solar rooftop,2402.4872817315772,4804.974771332896,7207.4621798082535
generators,BE1 1,onwind,747.4,144.67655647930087,0.004495679149851726
generators,BE1 1,solar,1724.1035432283325,1724.1073014791214,1724.1279353910436
generators,BE1 1,solar rooftop,3371.4801205112817,6742.960641178474,10114.441074782855
generators,BE1 2,onwind,747.402221204123,2117.232963989218,2117.250906308378
generators,BE1 2,ror,5.8,5.8,5.8
generators,BE1 2,solar,1724.1036600197858,1724.1068707690447,1724.1157963863354
generators,BE1 2,solar rooftop,2935.555770508883,5871.111897314455,8806.667929080939
generators,BE1 3,onwind,747.4028504384929,144.68173408933194,7259.105470034592
generators,BE1 3,ror,74.07619657813645,74.07619657813645,74.07619657813645
generators,BE1 3,solar,1724.103746776474,1724.105774735773,1724.1092069844517
generators,BE1 3,solar rooftop,2524.092054518879,5048.1842935279765,7572.276427365061
generators,BG0 0,gas,2708716.1272141533,2708716.1272141533,2708716.1272141533
generators,BG0 0,residential rural solar thermal,0.0051339226301451235,0.0028952707590724587,0.001322669695249779
generators,BG0 0,residential urban decentral solar thermal,0.003494345998002318,0.003247888696045199,0.0016992617058439593
generators,BG0 0,services rural solar thermal,0.005162347710530093,0.003040962535408972,0.0018575358635683804
generators,BG0 0,services urban decentral solar thermal,0.0034909829699987516,0.003175865264383334,0.0014652993627284608
generators,BG0 0,urban central solar thermal,0.005866226920420536,1166.646191661907,1166.6491152372807
generators,BG1 0,onwind,345.5007652286288,0.0005187134998657325,0.00045745990677508217
generators,BG1 0,solar,979.5155628538913,979.5391068930587,979.6355946884619
generators,BG1 0,solar rooftop,4287.442113505497,8574.884450411184,12862.326825376524
generators,BG1 1,offwind-ac,0.0005883269613399513,0.00037880262473317526,0.0003648252370836037
