cluster,,37m,37m,37m
ll,,v3.0,v3.0,v3.0
opt,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
links,home battery charger,0.17717537042057063,43411.487559762514,171173.64698087415
links,home battery discharger,0.18675923860424695,45759.72576828138,180432.86661896313
links,lignite,76463.58574781513,64403.3135026847,29653.502959624162
links,methanolisation,21313.38363686838,52859.8756660813,90558.60082478092
links,nuclear,144792.4670084925,89990.63528020188,53926.98626620717
links,nuclear (SMR),0.01404280976002433,0.004945017552203191,0.0030361374766568923
links,oil,8205.697082859464,6509.833923761335,3461.7150285548323
links,process emissions,19373.266678290598,14122.231267477287,0.005957510778818193
links,process emissions CC,0.03657826849878981,5212.203586986912,17673.51068540253
links,residential rural biomass boiler,6072.841306394676,8443.451000411593,9293.482294587873
links,residential rural gas boiler,157809.4232723032,63832.27607707594,63828.32375420719
links,residential rural ground heat pump,2162.639099504778,4317.528423210438,8984.019169662744
links,residential rural micro gas CHP,0.004234958969468305,0.0016752064340880685,0.0008077706067167595
links,residential rural oil boiler,106468.2543948976,82301.39329023275,82301.39587099812
links,residential rural resistive heater,57304.14205005271,33688.06541055983,39035.56589145089
links,residential rural water tanks charger,26327.80705348839,32891.801888760056,37796.45183533851
links,residential rural water tanks discharger,19006.56366637888,24810.931025726208,28470.5405839365
links,residential urban decentral air heat pump,13171.388757385883,8505.144443621755,9949.063300998427
links,residential urban decentral biomass boiler,16314.133124677319,19610.17785359954,19809.613033056066
links,residential urban decentral gas boiler,162828.26969044723,115547.57326386546,115532.42691034549
links,residential urban decentral micro gas CHP,0.004259626032986261,0.0016795355515552988,0.0008071890180771109
links,residential urban decentral oil boiler,218091.5404797875,162392.7931709075,162392.7530316781
links,residential urban decentral resistive heater,89377.00054658957,61974.929819428085,69317.49548919717
links,residential urban decentral water tanks charger,87195.31734986797,71535.03098982984,71525.95786602798
links,residential urban decentral water tanks discharger,60368.002846900665,51992.2257875188,46791.645610006606
links,services rural biomass boiler,5623.77667567537,5924.53736210165,5978.033005390436
links,services rural gas boiler,65649.28333388784,27985.428042087442,27982.647584005757
links,services rural ground heat pump,2135.194199604865,6693.069091479961,8971.35629973557
links,services rural micro gas CHP,0.004252054495798894,0.0016726108226832214,0.0008061455784671164
links,services rural oil boiler,40493.80547217503,28048.052528004715,28044.715177038892
links,services rural resistive heater,30292.161882599117,20125.738663687654,20934.23088843404
links,services rural water tanks charger,11505.11843404508,17447.08785026578,22143.269782852214
links,services rural water tanks discharger,10885.365846639035,16201.522726493751,18301.775307345997
links,services urban decentral air heat pump,4747.304440717141,2695.8737244296512,3236.987721595818
links,services urban decentral biomass boiler,7691.9129362733365,8514.011728267526,8568.759931063825
links,services urban decentral gas boiler,67563.8943093062,50525.8600279192,50517.312778472966
links,services urban decentral micro gas CHP,0.004261365826007542,0.0016743344570768431,0.0008067438780366042
links,services urban decentral oil boiler,84606.8829830695,60890.584531757966,60889.76505438004
links,services urban decentral resistive heater,46013.21433553444,33912.09537901562,34314.654426910216
links,services urban decentral water tanks charger,49483.122165062894,35860.61539684012,35987.16505222762
links,services urban decentral water tanks discharger,37165.946528199886,30347.870224811446,21409.439144663414
