cluster,,,37m,37m,37m
ll,,,v3.0,v3.0,v3.0
opt,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
gas,links,services rural gas boiler0,-266533767.0639583,-121131090.33380795,-72469233.71357997
gas,links,services rural micro gas CHP0,-19.915481754338717,-7.781374905408962,-3.244082276095231
gas,links,services urban decentral gas boiler0,-300791785.4513523,-221714050.1231204,-114024865.10242052
gas,links,services urban decentral micro gas CHP0,-19.966875945191816,-7.801846181199308,-3.2607568469349886
gas,links,urban central gas CHP CC0,-199.20574685534356,-87.68247867905214,-22.668268623053258
gas,links,urban central gas CHP0,-276.5340219880059,-133.47532010547073,-36.55653588142362
gas,links,urban central gas boiler0,-355363195.88460255,-558168779.196939,-267734787.56458002
gas,stores,gas,0.0,0.0,0.0
gas for industry,links,gas for industry CC1,292.83190871347335,236.01237169095967,25670002.820262954
gas for industry,links,gas for industry1,381089707.16855866,381209763.9878155,355619997.179571
gas for industry,loads,gas for industry,-381090000.0,-381210000.0,-381290000.0
home battery,links,home battery charger1,437.998428898562,77754225.85305606,291936493.52564716
home battery,links,home battery discharger0,-437.9984485366408,-77754225.85304138,-291936493.52691555
home battery,stores,home battery,1.9637854268895398e-05,-5.452418434968571e-05,0.0011102797033038865
lignite,generators,lignite,597996516.1335087,7771592.507442452,1118181.3723094366
lignite,links,lignite0,-597996516.1335421,-7771592.507450392,-1118181.372222184
lignite,stores,lignite,0.0,0.0,0.0
low voltage,generators,solar rooftop,506530024.28808874,1060682818.7915308,1610972386.2164912
low voltage,links,BEV charger0,-283518233.61799073,-665371865.3760923,-944479078.2114134
low voltage,links,V2G1,22998058.019679222,42987104.048373565,62412235.23404162
low voltage,links,electricity distribution grid1,3454477204.1082325,3678993878.30602,3801650758.941449
low voltage,links,home battery charger0,-461.690882298257,-81960150.4662686,-307728083.888015
low voltage,links,home battery discharger1,415.5218126987486,73764135.41962783,276955275.5004167
low voltage,links,residential rural ground heat pump0,-6317343.554600496,-36262852.53217396,-64913639.72365304
low voltage,links,residential rural micro gas CHP1,6.939137600944331,2.7362781934943956,1.1404234504190733
low voltage,links,residential rural resistive heater0,-5381859.544631161,-32968015.422732912,-51277852.716450915
low voltage,links,residential urban decentral air heat pump0,-15686886.503007678,-71273984.68184571,-75517689.14289175
low voltage,links,residential urban decentral micro gas CHP1,7.0032411634118965,2.7518235714226758,1.1454345983515974
low voltage,links,residential urban decentral resistive heater0,-27167968.62621124,-74789119.59508018,-98110866.49439557
low voltage,links,services rural ground heat pump0,-13877731.0748724,-57779592.93907782,-72857503.6538721
